image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger_2.numClicks,btn_anger_2.timesOn,btn_anger_2.timesOff,btn_disgust_2.numClicks,btn_disgust_2.timesOn,btn_disgust_2.timesOff,btn_fear_2.numClicks,btn_fear_2.timesOn,btn_fear_2.timesOff,btn_happiness_2.numClicks,btn_happiness_2.timesOn,btn_happiness_2.timesOff,btn_neutrality_2.numClicks,btn_neutrality_2.timesOn,btn_neutrality_2.timesOff,btn_sadness_2.numClicks,btn_sadness_2.timesOn,btn_sadness_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial_face.started,image_stim.started,trial_face.stopped,trial_response.started,btn_anger_2.started,btn_disgust_2.started,btn_fear_2.started,btn_happiness_2.started,btn_neutrality_2.started,btn_sadness_2.started,trial_response.stopped,trials.btn_anger_2.numClicks,trials.btn_anger_2.timesOn,trials.btn_anger_2.timesOff,trials.btn_disgust_2.numClicks,trials.btn_disgust_2.timesOn,trials.btn_disgust_2.timesOff,trials.btn_fear_2.numClicks,trials.btn_fear_2.timesOn,trials.btn_fear_2.timesOff,trials.btn_happiness_2.numClicks,trials.btn_happiness_2.timesOn,trials.btn_happiness_2.timesOff,trials.btn_neutrality_2.numClicks,trials.btn_neutrality_2.timesOn,trials.btn_neutrality_2.timesOff,trials.btn_sadness_2.numClicks,trials.btn_sadness_2.timesOn,trials.btn_sadness_2.timesOff,clickedEmotion,correct,end_screen.started,text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005186599999433383,0.013316900003701448,0.013316900003701448,0.7220556999964174,1,[0.7084434999997029],[0.7084505000093486],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/168_m_f_f_a.jpg,fear,0,0,0,0,,,1,[0.6838912999955937],[0.6839010999974562],0,,,0,,,0,,,0,,,0,0,0,64,0.8802600000053644,,,,,,,,,0.8474293000035686,0.8802600000053644,0.9754604000045219,0.9771572000026936,0.9963092999969376,0.9963092999969376,0.9963092999969376,0.9963092999969376,0.9963092999969376,0.9963092999969376,1.6808563999948092,0,,,1,[0.6838912999955937],[0.6839010999974562],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_h_a.jpg,happiness,1,1,0,0,,,1,[0.1350218000006862],[0.13502879999578],0,,,0,,,0,,,0,,,0,1,1,18,1.8557739999960177,,,,,,,,,1.8428177000023425,1.8557739999960177,1.934380799997598,1.9346784999943338,1.9551472000021022,1.9551472000021022,1.9551472000021022,1.9551472000021022,1.9551472000021022,1.9551472000021022,2.090870600004564,0,,,1,[0.1350218000006862],[0.13502879999578],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/168_m_f_n_a.jpg,neutral,2,2,0,0,,,1,[0.000556200000573881],[0.0005630999949062243],0,,,0,,,0,,,0,,,0,2,2,68,2.260068899995531,,,,,,,,,2.2472619000036502,2.260068899995531,2.3585999999922933,2.3589687000057893,2.374612999992678,2.374612999992678,2.374612999992678,2.374612999992678,2.374612999992678,2.374612999992678,2.3757252999930643,0,,,1,[0.000556200000573881],[0.0005630999949062243],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_f_b.jpg,fear,3,3,0,0,,,1,[0.12010930001270026],[0.12011560000246391],0,,,0,,,0,,,0,,,0,3,3,29,2.610692799993558,,,,,,,,,2.597087999994983,2.610692799993558,2.6435394000000088,2.6448433000041405,2.6577564000035636,2.6577564000035636,2.6577564000035636,2.6577564000035636,2.6577564000035636,2.6577564000035636,2.77842079999391,0,,,1,[0.12010930001270026],[0.12011560000246391],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_a_a.jpg,anger,4,4,0,0,,,1,[0.01921990000118967],[0.019228400007705204],0,,,0,,,0,,,0,,,0,4,4,12,2.9365331000008155,,,,,,,,,2.925900600006571,2.9365331000008155,3.032201599999098,3.0325568999978714,3.0485410999972373,3.0485410999972373,3.0485410999972373,3.0485410999972373,3.0485410999972373,3.0485410999972373,3.068282599997474,0,,,1,[0.01921990000118967],[0.019228400007705204],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/004_o_m_d_a.jpg,disgust,5,5,0,0,,,1,[0.014919799999915995],[0.014926300005754456],0,,,0,,,0,,,0,,,0,5,5,2,3.2194209000008414,,,,,,,,,3.2102134000015212,3.2194209000008414,3.3309115000010934,3.3312188999989303,3.35183820000384,3.35183820000384,3.35183820000384,3.35183820000384,3.35183820000384,3.35183820000384,3.3673107999929925,0,,,1,[0.014919799999915995],[0.014926300005754456],0,,,0,,,0,,,0,,,disgust,1,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/004_o_m_n_a.jpg,neutral,6,6,0,0,,,1,[0.1544527000078233],[0.1544586999953026],0,,,0,,,0,,,0,,,0,6,6,8,3.5267797999986215,,,,,,,,,3.514569799997844,3.5267797999986215,3.6232485999935307,3.6238778999977512,3.6361104999959935,3.6361104999959935,3.6361104999959935,3.6361104999959935,3.6361104999959935,3.6361104999959935,3.791101800001343,0,,,1,[0.1544527000078233],[0.1544586999953026],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_f_a.jpg,fear,7,7,0,0,,,1,[0.08566320000682026],[0.08567169999878388],0,,,0,,,0,,,0,,,0,7,7,28,3.951523499999894,,,,,,,,,3.9399417999957222,3.951523499999894,4.046645900001749,4.047134599997662,4.067601500006276,4.067601500006276,4.067601500006276,4.067601500006276,4.067601500006276,4.067601500006276,4.153891099995235,0,,,1,[0.08566320000682026],[0.08567169999878388],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/004_o_m_h_a.jpg,happiness,8,8,0,0,,,1,[0.055155800000648014],[0.05516780000471044],0,,,0,,,0,,,0,,,0,8,8,6,4.3502775999950245,,,,,,,,,4.338703899993561,4.3502775999950245,4.414564799997606,4.414850899993326,4.427974299993366,4.427974299993366,4.427974299993366,4.427974299993366,4.427974299993366,4.427974299993366,4.483941800004686,0,,,1,[0.055155800000648014],[0.05516780000471044],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/168_m_f_h_b.jpg,happiness,9,9,0,0,,,1,[0.07015169999795035],[0.07016810000641271],0,,,0,,,0,,,0,,,0,9,9,67,4.632817299992894,,,,,,,,,4.6202473000012105,4.632817299992894,4.749038599999039,4.7493639000022085,4.763959100004286,4.763959100004286,4.763959100004286,4.763959100004286,4.763959100004286,4.763959100004286,4.835010099995998,0,,,1,[0.07015169999795035],[0.07016810000641271],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/140_y_f_s_b.jpg,sadness,10,10,0,0,,,1,[0.04008069999690633],[0.040089400004944764],0,,,0,,,0,,,0,,,0,10,10,59,4.999510599998757,,,,,,,,,4.988738500003819,4.999510599998757,5.096321299992269,5.096625100006349,5.110631799994735,5.110631799994735,5.110631799994735,5.110631799994735,5.110631799994735,5.110631799994735,5.15150320000248,0,,,1,[0.04008069999690633],[0.040089400004944764],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_s_b.jpg,sadness,11,11,0,0,,,1,[0.0006653000018559396],[0.0006721000099787489],0,,,0,,,0,,,0,,,0,11,11,23,5.3111879999923985,,,,,,,,,5.298667900002329,5.3111879999923985,5.409667500003707,5.409947699998156,5.424945000006119,5.424945000006119,5.424945000006119,5.424945000006119,5.424945000006119,5.424945000006119,5.426215800005593,0,,,1,[0.0006653000018559396],[0.0006721000099787489],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/140_y_f_a_b.jpg,anger,12,12,0,0,,,1,[0.10839120000309777],[0.10839690000284463],0,,,0,,,0,,,0,,,0,12,12,49,5.5961900999973295,,,,,,,,,5.5849596000043675,5.5961900999973295,5.69409689999884,5.695154700006242,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.816483200003859,0,,,1,[0.10839120000309777],[0.10839690000284463],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
